Product Name,Rating,Customers_Rated,Price,Category
How to Meet Your Self: The Workbook for Self-Discovery,,Dr. Nicole LePera,$18.99,Books
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),4.7 out of 5 stars,"29,170",$8.99,Books
How to Draw 101 Animals (1),4.7 out of 5 stars,"24,955",$4.99,Books
"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 4",4.5 out of 5 stars,"19,871",$59.99,Electronics
Icebreaker,4.6 out of 5 stars,"18,379",$16.14,Books
"100% Compostable 9 Inch Heavy-Duty Plates [125-Pack] Eco-Friendly Disposable White Bagasse Plate, Made of Natural Sugarcane F",4.6 out of 5 stars,"5,664",$20.99,Health and Household
"All-new Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, includes 2-year worry-free guarantee, Kid-Proof Case, 32 GB, (2022 re",4.7 out of 5 stars,29,$149.99,Electronics
Lenovo Smart Clock Essential with Alexa Built-in - Digital LED with Auto-Adjust Brightness - Smart Alarm Clock with Speaker a,3.8 out of 5 stars,667,$29.99,Electronics
"Culturelle Kids Daily Probiotic + Veggie Fiber Gummies , Prebiotic + Probiotic with Vitamin C Boost, Digestive + Immune Suppo",4.7 out of 5 stars,"7,807",$15.49,Health and Household
"Arm & Hammer Super Washing Soda Detergent Booster & Household Cleaner, 55oz.",4.8 out of 5 stars,"36,297",$4.76,Health and Household
"EZY DOSE Push Button (7-Day) Pill, Medicine, Vitamin Organizer | Weekly, 2 Times a Day, AM/PM | Large Compartments | Arthriti",4.6 out of 5 stars,"77,461",$4.99,Health and Household
"Energizer 2032 Batteries, Lithium CR2032 Watch Battery, 6 Count",4.8 out of 5 stars,"102,402",$9.40,Health and Household
Cinema Speculation,4.6 out of 5 stars,105,$21.98,Books
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.8 out of 5 stars,"19,655",$18.54,Books
Bluey: Big Backyard: A Coloring Book,4.8 out of 5 stars,Penguin Young Readers Licenses,$6.28,Books
Demon Copperhead: A Novel,4.7 out of 5 stars,"2,087",$20.57,Books
"Lysol Disinfectant Spray, Sanitizing and Antibacterial Spray, For Disinfecting and Deodorizing, Crisp Linen, 19 Fl. Oz (Pack ",4.8 out of 5 stars,"58,449",$12.99,Health and Household
Maybe Someday (1),4.6 out of 5 stars,"15,228",$9.99,Books
"PEAKEEP Smart Night Light Digital Alarm Clock with Indoor Temperature, Battery Operated Desk Small Clock (White)",4.4 out of 5 stars,"18,202",$14.77,Electronics
"Quilted Northern Ultra Soft & Strong Toilet Paper, 18 Mega Rolls = 72 Regular Rolls, 2-ply Bath Tissue, 6 count (Pack of 3) (",4.8 out of 5 stars,"15,944",$18.87,Health and Household
"Tom's of Maine ADA Approved Fluoride Children's Toothpaste, Natural Toothpaste, Dye Free, No Artificial Preservatives, Silly ",4.6 out of 5 stars,"22,573",$11.97,Health and Household
Stranger Things: The Official Coloring Book,4.8 out of 5 stars,Netflix,$12.37,Books
"Surge Protector(4000 Joules), POWRUI Power Strip with 12-Outlet and 5 USB Ports(5V/6A, 30W) and 6-Foot(1875W/15A) Heavy Duty ",4.7 out of 5 stars,"3,550",$15.99,Electronics
"Bounce Pet Hair and Lint Guard Mega Dryer Sheets with 3X Pet Hair Fighters, Fresh Scent, 130 Count",4.6 out of 5 stars,"57,116",$9.99,Health and Household
"TheraBreath Fresh Breath Dentist Formulated Oral Rinse, Mild Mint, 16 Ounce (Pack of 2)",4.6 out of 5 stars,"39,796",$15.34,Health and Household
"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume.",4.6 out of 5 stars,"184,050",$16.55,Electronics
Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,4.4 out of 5 stars,"38,078",$10.90,Books
If You Give a Mouse a Cookie,4.9 out of 5 stars,"11,079",$10.88,Books
"LMNT Keto Electrolyte Powder Packets | Paleo Hydration Powder | No Sugar, No Artificial Ingredients | Citrus Salt | 30 Stick ",4.8 out of 5 stars,"2,575",$45.00,Health and Household
"Puffs Plus Lotion Facial Tissue, 8 Family Boxes, 124 Facial Tissues per Box (992 Tissues Total)",4.9 out of 5 stars,"2,334",$10.25,Health and Household
Gogogo Sport Vpro Laser Rangefinder for Golf & Hunting Range Finder Distance Measuring with High-Precision Flag Pole Locking ,4.4 out of 5 stars,"7,953",$89.99,Electronics
If Animals Kissed Good Night,4.8 out of 5 stars,"70,330",$4.14,Books
"AZO Cranberry Urinary Tract Health Supplement, 1 Serving = 1 Glass of Cranberry Juice, Sugar Free Cranberry Pills, Non-GMO 10",4.7 out of 5 stars,"45,365",$22.99,Health and Household
"Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vit",4.8 out of 5 stars,"28,851",$17.99,Health and Household
"Bluetooth Headphones Over Ear,KVIDIO 55 Hours Playtime Wireless Headphones with Microphone,Foldable Lightweight Headset with ",4.5 out of 5 stars,"7,227",$25.97,Electronics
"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",4.7 out of 5 stars,"51,221",$64.39,Electronics
"Roku Ultra 2022 4K/HDR/Dolby Vision Streaming Device and Roku Voice Remote Pro with Rechargeable Battery, Hands-Free Voice Co",4.6 out of 5 stars,"2,496",$69.99,Electronics
"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in",4.8 out of 5 stars,"113,838",$14.99,Health and Household
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,4.7 out of 5 stars,"27,710",$13.29,Books
"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",4.7 out of 5 stars,"253,508",$14.99,Electronics
"Charmin Ultra Strong Clean Touch Toilet Paper, 18 Family Mega Rolls = 90 Regular Rolls",4.8 out of 5 stars,"1,836",$26.90,Health and Household
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8 out of 5 stars,"20,870",$16.65,Books
"HMROPE 100pcs Cable Zip Ties Heavy Duty 12 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking Blac",4.5 out of 5 stars,"7,279",$6.99,Electronics
"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Double Rich Chocolate, 5 Pound (Packaging May Vary)",4.7 out of 5 stars,"146,704",$73.94,Health and Household
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.7 out of 5 stars,"976,183",$19.36,Electronics
"Rove R2- 4K Dash Cam Built in WiFi GPS Car Dashboard Camera Recorder with UHD 2160P, 2.4"" LCD, 150° Wide Angle, WDR, Night Vi",4.4 out of 5 stars,"27,445",$119.99,Electronics
"LOUTOC Universal TV Remote for All Roku TV,Replacement for TCL Roku/for Hisense Roku/for Sharp Roku TV,TV Remote with Netflix",4.4 out of 5 stars,"14,987",$10.99,Electronics
Blue Light Blocking Glasses - Women/Men 3Pack Computer Reading Gaming Anti Eyestrain Blue Light Glasses Non Prescription,4.4 out of 5 stars,"2,130",$8.99,Electronics
Jokes for 8 Year Olds: Awesome Jokes for 8 Year Olds : Birthday - Christmas Gifts for 8 Year Olds (Funny Jokes for Kids Age 5-12),4.6 out of 5 stars,Linda Summers,$3.99,Books
Roku Streaming Stick 4K | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,4.7 out of 5 stars,"40,378",$24.99,Electronics
"Colgate Kids Battery Powered Toothbrush, Unicorn, Extra Soft Toothbrush, Ages 3 and Up, 1 Pack",4.7 out of 5 stars,"22,437",$4.98,Health and Household
Things We Never Got Over (Knockemout),4.5 out of 5 stars,"84,796",$13.67,Books
